gls_1,gls_2,gls_3
832.604,1.492780893,0
833.35,1.490179474,0
834.095,1.49179833,0
834.841,1.491162427,0
835.586,1.489774659,0
836.332,1.491104613,0
837.077,1.490005987,0
837.822,1.489716825,0
838.567,1.492549722,0
839.312,1.491393676,0
840.057,1.493185409,0
840.802,1.49064207,0
841.547,1.490757711,0
842.291,1.492549722,0
843.036,1.49064207,0
843.78,1.491624912,0
844.525,1.491393676,0
845.269,1.491856134,0
846.014,1.493069837,0
846.758,1.490757711,0
847.502,1.490757711,0
848.246,1.491104613,0
848.99,1.490526426,0
849.734,1.490468603,0
850.478,1.489832492,0
851.221,1.490873348,0
851.965,1.491162427,0
852.708,1.490757711,0
853.452,1.490873348,0
854.195,1.49064207,0
854.939,1.490526426,0
855.682,1.491856134,0
856.425,1.490699891,0
857.168,1.489311963,0
857.911,1.49081553,0
858.654,1.491740524,0
859.397,1.491162427,0
860.14,1.491913937,0
860.882,1.490526426,0
861.625,1.48948548,0
862.367,1.48965899,0
863.11,1.490295128,0
863.852,1.489774659,0
864.594,1.49081553,0
865.337,1.490352954,0
866.079,1.490352954,0
866.821,1.491451486,0
867.563,1.49179833,0
868.305,1.491393676,0
869.046,1.489311963,0
869.788,1.490352954,0
870.53,1.491740524,0
871.271,1.490237301,0
872.013,1.490005987,0
872.754,1.490063817,0
873.495,1.490873348,0
874.236,1.491104613,0
874.978,1.489254122,0
875.719,1.491335865,0
876.46,1.48948548,0
877.2,1.489832492,0
877.941,1.490757711,0
878.682,1.490352954,0
879.422,1.490005987,0
880.163,1.49081553,0
880.903,1.490121646,0
881.644,1.489774659,0
882.384,1.490295128,0
883.124,1.488617819,0
883.865,1.491220241,0
884.605,1.488849214,0
885.345,1.488328557,0
886.084,1.490757711,0
886.824,1.490757711,0
887.564,1.490873348,0
888.304,1.489311963,0
889.043,1.491856134,0
889.783,1.490699891,0
890.522,1.490468603,0
891.261,1.488849214,0
892,1.491509295,0
892.74,1.489948156,0
893.479,1.489196281,0
894.218,1.48890706,0
894.957,1.490873348,0
895.695,1.490757711,0
